Operateur;2G;3G;4G;city
Orange;1;1;0;riec-sur-bélon
SFR;1;1;0;garlan
Bouygue;1;1;0;plougasnou
SFR;1;1;1;plougasnou
Orange;1;1;1;plougasnou
Orange;1;1;0;garlan
Bouygue;1;1;1;huelgoat
SFR;1;1;1;huelgoat
Free;0;1;0;huelgoat
Orange;1;1;0;huelgoat
Bouygue;1;1;1;scaër
SFR;1;1;1;scaër
SFR;1;1;0;plougonven
Bouygue;1;1;1;bannalec
SFR;1;1;1;bannalec
Orange;1;1;0;bannalec
Orange;1;1;0;moëlan-sur-mer
Bouygue;1;1;1;berrien
SFR;1;1;1;berrien
Free;0;1;1;scaër
Orange;1;1;1;scaër
Bouygue;1;1;0;plouigneau
Free;0;1;1;plouigneau
Bouygue;1;1;1;landeleau
SFR;1;1;1;landeleau
Bouygue;1;1;1;trévoux
SFR;1;1;1;trévoux
Orange;1;1;0;trévoux
Orange;1;0;0;saint-thurien
Free;0;1;1;riec-sur-bélon
Orange;1;1;0;plougonven
Bouygue;1;1;1;moëlan-sur-mer
SFR;1;1;1;moëlan-sur-mer
Bouygue;1;1;0;plougonven
Bouygue;1;1;1;lanmeur
SFR;1;1;1;lanmeur
Orange;1;1;0;lanmeur
Orange;1;1;0;cléden-poher
Free;0;1;1;lanmeur
Bouygue;1;1;1;guiscriff
SFR;1;1;1;guiscriff
Orange;1;1;0;poullaouen
SFR;1;1;0;plouigneau
Orange;1;1;0;plouigneau
SFR;1;1;0;clohars-carnoët
Bouygue;1;1;0;clohars-carnoët
Orange;1;1;0;clohars-carnoët
Orange;1;1;0;gourin
Bouygue;1;1;1;poullaouen
SFR;0;0;1;poullaouen
Free;0;1;1;poullaouen
Bouygue;1;1;0;saint-hernin
Free;0;1;0;saint-hernin
Orange;1;1;0;saint-hernin
SFR;1;1;0;saint-hernin
Orange;1;1;0;quimperlé
SFR;1;1;1;locquirec
Bouygue;1;1;1;locquirec
Bouygue;1;1;1;quimperlé
SFR;1;1;1;quimperlé
Free;0;1;1;gourin
SFR;1;1;1;gourin
Bouygue;1;1;1;gourin
Free;0;1;1;quimperlé
Free;0;1;1;carhaix-plouguer
Bouygue;1;1;0;carhaix-plouguer
SFR;1;1;0;guidel
Orange;1;1;0;guidel
Bouygue;1;1;1;plestin-les-grèves
SFR;0;0;1;plestin-les-grèves
Orange;0;1;1;carhaix-plouguer
Orange;1;1;0;plestin-les-grèves
Free;0;1;1;plestin-les-grèves
Free;0;1;1;querrien
Bouygue;1;1;1;querrien
SFR;1;1;1;querrien
Orange;1;1;0;querrien
Bouygue;1;1;1;plouégat-moysan
SFR;1;1;1;plouégat-moysan
SFR;1;1;0;carhaix-plouguer
Bouygue;1;1;0;guerlesquin
Orange;1;1;0;saint
Free;0;1;1;guerlesquin
Orange;1;1;0;plouégat-moysan
Free;0;1;1;tréméven
Orange;1;1;0;tréméven
Orange;1;1;0;ploemeur
Bouygue;1;1;1;rédené
SFR;1;1;1;rédené
Orange;1;1;0;tréogan
Bouygue;1;1;1;guidel
SFR;1;1;1;guerlesquin
SFR;1;1;0;groix
Bouygue;1;1;1;groix
Orange;1;1;1;groix
SFR;1;1;0;ploemeur
Bouygue;0;1;0;ploemeur
Orange;1;1;1;faouët
Free;0;1;1;rédené
Free;0;1;1;faouët
Bouygue;1;1;1;faouët
SFR;1;1;1;faouët
Orange;1;1;1;trébeurden
SFR;1;1;1;trébeurden
Bouygue;1;1;1;trébeurden
Free;0;1;1;trébeurden
SFR;1;1;0;plourac'h
Bouygue;1;1;0;plourac'h
Free;0;1;0;plourac'h
Orange;1;1;0;plourac'h
Orange;1;1;0;plounérin
Bouygue;1;0;0;plounérin
Bouygue;1;1;1;langonnet
SFR;1;1;1;langonnet
Orange;1;1;0;trébrivan
SFR;1;1;0;trédrez-locquémeau
Bouygue;1;1;1;trédrez-locquémeau
Orange;1;1;0;gestel
Bouygue;1;1;1;gestel
SFR;1;1;0;gestel
Bouygue;1;1;1;arzano
SFR;1;1;1;arzano
Free;0;1;1;ploemeur
Orange;1;1;0;arzano
Orange;1;1;0;ploumilliau
Orange;1;1;0;quéven
Bouygue;1;1;1;ploumilliau
SFR;0;0;1;ploumilliau
Free;0;1;1;ploumilliau
Orange;1;1;0;carnoët
SFR;1;1;1;quéven
Bouygue;1;1;1;quéven
Free;0;1;1;quéven
Bouygue;1;1;1;meslan
SFR;1;1;1;meslan
Bouygue;1;1;0;lohuec
Orange;1;1;0;lohuec
Free;0;1;0;lohuec
SFR;1;1;0;lohuec
Bouygue;1;1;1;paule
SFR;0;0;1;paule
